DATE,DATE,LATITUDE,LONGITUDE,STREET1,STREET2,ROAD_CLASS,District,LOCCOORD,ACCLOC,INJURY,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL
2008-02-02 05:00:00,2008-02-02 05:00:00,43.804445,-79.27619,BRIMLEY RD,CHARTLAND BLVD S,Major Arterial,Scarborough,Mid-Block,,,,Other,,,Yes,Yes,,
2008-02-02 05:00:00,2008-02-02 05:00:00,43.804445,-79.27619,BRIMLEY RD,CHARTLAND BLVD S,Major Arterial,Scarborough,Mid-Block,,None,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Yes,Yes,,
2008-08-01 04:00:00,2008-08-01 04:00:00,43.644045,-79.37579000000001,LAKE SHORE W BLVD E,YONGE ST,Expressway,Toronto and East York,Intersection,At Intersection,Minor,,Other,,,,Yes,,Yes
2008-08-01 04:00:00,2008-08-01 04:00:00,43.644045,-79.37579000000001,LAKE SHORE W BLVD E,YONGE ST,Expressway,Toronto and East York,Intersection,At Intersection,Minor,West,"Automobile, Station Wagon",Turning Left,Driving Properly,,Yes,,Yes
2008-08-01 04:00:00,2008-08-01 04:00:00,43.644045,-79.37579000000001,LAKE SHORE W BLVD E,YONGE ST,Expressway,Toronto and East York,Intersection,At Intersection,,,Other,,,,Yes,,Yes
2008-08-01 04:00:00,2008-08-01 04:00:00,43.644045,-79.37579000000001,LAKE SHORE W BLVD E,YONGE ST,Expressway,Toronto and East York,Intersection,At Intersection,None,West,"Automobile, Station Wagon",Going Ahead,Following too Close,,Yes,,Yes
2008-08-01 04:00:00,2008-08-01 04:00:00,43.644045,-79.37579000000001,LAKE SHORE W BLVD E,YONGE ST,Expressway,Toronto and East York,Intersection,At Intersection,Major,Unknown,Other,,,,Yes,,Yes
2009-05-07 04:00:00,2009-05-07 04:00:00,43.676543,-79.320789,COXWELL AVE,CASCI AVE,Minor Arterial,Toronto and East York,Intersection,,None,North,Passenger Van,Going Ahead,Driving Properly,,,,
2009-05-07 04:00:00,2009-05-07 04:00:00,43.676543,-79.320789,COXWELL AVE,CASCI AVE,Minor Arterial,Toronto and East York,Intersection,,Major,North,Bicycle,Changing Lanes,,,,,
2015-08-12 04:00:00,2015-08-12 04:00:00,43.672522,-79.467609,ST CLAIR AVE W,KEELE ST,Major Arterial,Etobicoke York,Intersection,At Intersection,Minor,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,,Yes,,
2015-08-12 04:00:00,2015-08-12 04:00:00,43.672522,-79.467609,ST CLAIR AVE W,KEELE ST,Major Arterial,Etobicoke York,Intersection,At Intersection,Major,Unknown,,,,,Yes,,
2018-05-20 04:00:00,2018-05-20 04:00:00,43.736334,-79.438556,364 WILSON AVE,VULCAN ST,Major Arterial,North York,Mid-Block,Non Intersection,Fatal,West,"Automobile, Station Wagon",Changing Lanes,Improper Lane Change,Yes,Yes,,
2017-12-14 05:00:00,2017-12-14 05:00:00,43.670657,-79.475673,ST CLAIR  AVE W,MONDOVI  GT,Major Arterial,Etobicoke York,Mid-Block,Non Intersection,Major,South,,,,,,,
2017-12-14 05:00:00,2017-12-14 05:00:00,43.670657,-79.475673,ST CLAIR  AVE W,MONDOVI  GT,Major Arterial,Etobicoke York,Mid-Block,Non Intersection,None,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,,,,
2018-05-20 04:00:00,2018-05-20 04:00:00,43.736334,-79.438556,364 WILSON AVE,VULCAN ST,Major Arterial,North York,Mid-Block,Non Intersection,Minor,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Yes,Yes,,
2018-05-20 04:00:00,2018-05-20 04:00:00,43.736334,-79.438556,364 WILSON AVE,VULCAN ST,Major Arterial,North York,Mid-Block,Non Intersection,Major,,,,,Yes,Yes,,
2018-05-20 04:00:00,2018-05-20 04:00:00,43.736334,-79.438556,364 WILSON AVE,VULCAN ST,Major Arterial,North York,Mid-Block,Non Intersection,Major,,,,,Yes,Yes,,
2018-05-20 04:00:00,2018-05-20 04:00:00,43.736334,-79.438556,364 WILSON AVE,VULCAN ST,Major Arterial,North York,Mid-Block,Non Intersection,Major,,,,,Yes,Yes,,
2010-01-09 05:00:00,2010-01-09 05:00:00,43.669963,-79.379894,TED ROGERS  WAY,MOUNT PLEASANT RD,Major Arterial,Toronto and East York,Intersection,At Intersection,None,,Other,,,Yes,Yes,,
2010-01-09 05:00:00,2010-01-09 05:00:00,43.669963,-79.379894,TED ROGERS  WAY,MOUNT PLEASANT RD,Major Arterial,Toronto and East York,Intersection,At Intersection,None,,Other,,,Yes,Yes,,
2010-01-09 05:00:00,2010-01-09 05:00:00,43.669963,-79.379894,TED ROGERS  WAY,MOUNT PLEASANT RD,Major Arterial,Toronto and East York,Intersection,At Intersection,None,,Other,,,Yes,Yes,,
2010-01-09 05:00:00,2010-01-09 05:00:00,43.669963,-79.379894,TED ROGERS  WAY,MOUNT PLEASANT RD,Major Arterial,Toronto and East York,Intersection,At Intersection,None,,Other,,,Yes,Yes,,
2010-01-09 05:00:00,2010-01-09 05:00:00,43.669963,-79.379894,TED ROGERS  WAY,MOUNT PLEASANT RD,Major Arterial,Toronto and East York,Intersection,At Intersection,None,South,"Automobile, Station Wagon",Going Ahead,Exceeding Speed Limit,Yes,Yes,,
2010-01-09 05:00:00,2010-01-09 05:00:00,43.669963,-79.379894,TED ROGERS  WAY,MOUNT PLEASANT RD,Major Arterial,Toronto and East York,Intersection,At Intersection,Minor,,Other,,,Yes,Yes,,
2010-01-09 05:00:00,2010-01-09 05:00:00,43.669963,-79.379894,TED ROGERS  WAY,MOUNT PLEASANT RD,Major Arterial,Toronto and East York,Intersection,At Intersection,Major,South,"Automobile, Station Wagon",Stopped,Driving Properly,Yes,Yes,,
2015-04-01 04:00:00,2015-04-01 04:00:00,43.637427,-79.41212,F G GARDINER XY  W,STRACHAN AVE,Expressway,Toronto and East York,Mid-Block,,Fatal,West,Motorcycle,Going Ahead,Exceeding Speed Limit,Yes,Yes,,
2014-06-14 04:00:00,2014-06-14 04:00:00,43.811175,-79.36076700000001,STEELES AVE E,DON MILLS RD,Major Arterial,North York,Intersection,At Intersection,None,East,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,Yes,Yes,Yes,
2014-06-14 04:00:00,2014-06-14 04:00:00,43.811175,-79.36076700000001,STEELES AVE E,DON MILLS RD,Major Arterial,North York,Intersection,At Intersection,Minimal,West,"Automobile, Station Wagon",Turning Left,Improper Turn,Yes,Yes,Yes,
2014-06-14 04:00:00,2014-06-14 04:00:00,43.811175,-79.36076700000001,STEELES AVE E,DON MILLS RD,Major Arterial,North York,Intersection,At Intersection,Minimal,,,,,Yes,Yes,Yes,
2014-06-14 04:00:00,2014-06-14 04:00:00,43.811175,-79.36076700000001,STEELES AVE E,DON MILLS RD,Major Arterial,North York,Intersection,At Intersection,Major,,,,,Yes,Yes,Yes,
2014-06-14 04:00:00,2014-06-14 04:00:00,43.811175,-79.36076700000001,STEELES AVE E,DON MILLS RD,Major Arterial,North York,Intersection,At Intersection,Minimal,,,,,Yes,Yes,Yes,
2014-12-20 05:00:00,2014-12-20 05:00:00,43.758887,-79.257114,BRIMLEY RD,DORCOT AVE,Major Arterial,Scarborough,Intersection,At Intersection,Minimal,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,,,,
2014-12-20 05:00:00,2014-12-20 05:00:00,43.758887,-79.257114,BRIMLEY RD,DORCOT AVE,Major Arterial,Scarborough,Intersection,At Intersection,None,,,,,,,,
2014-12-20 05:00:00,2014-12-20 05:00:00,43.758887,-79.257114,BRIMLEY RD,DORCOT AVE,Major Arterial,Scarborough,Intersection,At Intersection,None,,,,,,,,
2014-12-20 05:00:00,2014-12-20 05:00:00,43.758887,-79.257114,BRIMLEY RD,DORCOT AVE,Major Arterial,Scarborough,Intersection,At Intersection,Major,West,,,,,,,
2017-10-04 04:00:00,2017-10-04 04:00:00,43.755549,-79.34798,900 YORK MILLS RD,,Major Arterial,North York,Mid-Block,Non Intersection,None,West,"Automobile, Station Wagon",Going Ahead,Lost control,,,,Yes
2017-10-04 04:00:00,2017-10-04 04:00:00,43.755549,-79.34798,900 YORK MILLS RD,,Major Arterial,North York,Mid-Block,Non Intersection,Fatal,East,,,,,,,Yes
2010-09-26 04:00:00,2010-09-26 04:00:00,43.637945,-79.45899,LAKE SHORE BLVD W,COLBORNE LODGE DR,Major Arterial,Toronto and East York,Intersection,At Intersection,None,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,,,,
2010-09-26 04:00:00,2010-09-26 04:00:00,43.637945,-79.45899,LAKE SHORE BLVD W,COLBORNE LODGE DR,Major Arterial,Toronto and East York,Intersection,At Intersection,None,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,,,,
2010-09-26 04:00:00,2010-09-26 04:00:00,43.637945,-79.45899,LAKE SHORE BLVD W,COLBORNE LODGE DR,Major Arterial,Toronto and East York,Intersection,At Intersection,Fatal,South,Bicycle,Going Ahead,,,,,
2014-03-05 05:00:00,2014-03-05 05:00:00,43.758967,-79.246433,MCCOWAN RD,BENLEIGH  DR,Major Arterial,Scarborough,Mid-Block,Non Intersection,None,North,"Automobile, Station Wagon",Going Ahead,Exceeding Speed Limit,Yes,Yes,,
2014-03-05 05:00:00,2014-03-05 05:00:00,43.758967,-79.246433,MCCOWAN RD,BENLEIGH  DR,Major Arterial,Scarborough,Mid-Block,Non Intersection,Minimal,,,,,Yes,Yes,,
2014-03-05 05:00:00,2014-03-05 05:00:00,43.758967,-79.246433,MCCOWAN RD,BENLEIGH  DR,Major Arterial,Scarborough,Mid-Block,Non Intersection,Major,,,,,Yes,Yes,,
2017-08-19 04:00:00,2017-08-19 04:00:00,43.726092,-79.571864,HINTON RD,KIPLING AVE,Local,Etobicoke York,Mid-Block,At/Near Private Drive,Major,East,Motorcycle,Going Ahead,Driving Properly,,Yes,,
2017-08-19 04:00:00,2017-08-19 04:00:00,43.726092,-79.571864,HINTON RD,KIPLING AVE,Local,Etobicoke York,Mid-Block,At/Near Private Drive,None,North,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,,Yes,,
2008-05-28 04:00:00,2008-05-28 04:00:00,43.715945,-79.44499,LAWRENCE AVE W,LAWRENCE W ALLEN X S RAMP,Expressway,North York,Intersection,At Intersection,,,Other,,,,Yes,,
2008-05-28 04:00:00,2008-05-28 04:00:00,43.715945,-79.44499,LAWRENCE AVE W,LAWRENCE W ALLEN X S RAMP,Expressway,North York,Intersection,At Intersection,None,West,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,,Yes,,
2008-05-28 04:00:00,2008-05-28 04:00:00,43.715945,-79.44499,LAWRENCE AVE W,LAWRENCE W ALLEN X S RAMP,Expressway,North York,Intersection,At Intersection,Major,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,,Yes,,
2012-04-18 04:00:00,2012-04-18 04:00:00,43.770345,-79.44209000000001,BATHURST ST,MASCOT PL,Major Arterial,North York,Intersection,At Intersection,None,South,"Automobile, Station Wagon",Going Ahead,Failed to Yield Right of Way,,Yes,,Yes
2012-04-18 04:00:00,2012-04-18 04:00:00,43.770345,-79.44209000000001,BATHURST ST,MASCOT PL,Major Arterial,North York,Intersection,At Intersection,Major,West,Other,,,,Yes,,Yes
2012-05-04 04:00:00,2012-05-04 04:00:00,43.648545,-79.32749,475 UNWIN AVE,,Other,Toronto and East York,Mid-Block,,Major,,Other,,,Yes,Yes,,
2012-05-04 04:00:00,2012-05-04 04:00:00,43.648545,-79.32749,475 UNWIN AVE,,Other,Toronto and East York,Mid-Block,,None,North,"Automobile, Station Wagon",Going Ahead,Speed too Fast For Condition,Yes,Yes,,
2012-05-04 04:00:00,2012-05-04 04:00:00,43.648545,-79.32749,475 UNWIN AVE,,Other,Toronto and East York,Mid-Block,,,,Other,,,Yes,Yes,,
2015-11-05 05:00:00,2015-11-05 05:00:00,43.698043,-79.349742,DON VALLEY PARKWAY  S,LEASIDE BDGE,Expressway,Toronto and East York,Mid-Block,Non Intersection,None,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,,,,
2015-11-05 05:00:00,2015-11-05 05:00:00,43.698043,-79.349742,DON VALLEY PARKWAY  S,LEASIDE BDGE,Expressway,Toronto and East York,Mid-Block,Non Intersection,None,,,,,,,,
2015-11-05 05:00:00,2015-11-05 05:00:00,43.698043,-79.349742,DON VALLEY PARKWAY  S,LEASIDE BDGE,Expressway,Toronto and East York,Mid-Block,Non Intersection,Major,Unknown,,,,,,,
2016-09-29 04:00:00,2016-09-29 04:00:00,43.814509,-79.292178,MIDLAND AVE,MCNICOLL AVE,Major Arterial,Scarborough,Intersection,Intersection Related,Minor,South,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,,Yes,Yes,
2016-09-29 04:00:00,2016-09-29 04:00:00,43.814509,-79.292178,MIDLAND AVE,MCNICOLL AVE,Major Arterial,Scarborough,Intersection,Intersection Related,Minimal,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,,Yes,Yes,
2016-09-29 04:00:00,2016-09-29 04:00:00,43.814509,-79.292178,MIDLAND AVE,MCNICOLL AVE,Major Arterial,Scarborough,Intersection,Intersection Related,Minimal,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,,Yes,Yes,
2016-09-29 04:00:00,2016-09-29 04:00:00,43.814509,-79.292178,MIDLAND AVE,MCNICOLL AVE,Major Arterial,Scarborough,Intersection,Intersection Related,Major,,,,,,Yes,Yes,
2017-02-26 05:00:00,2017-02-26 05:00:00,43.659106,-79.39853199999999,215 HURON ST,,Local,Toronto and East York,Mid-Block,Non Intersection,None,North,"Automobile, Station Wagon",Going Ahead,Other,,,,
2017-02-26 05:00:00,2017-02-26 05:00:00,43.659106,-79.39853199999999,215 HURON ST,,Local,Toronto and East York,Mid-Block,Non Intersection,Major,South,Bicycle,Going Ahead,,,,,
2017-02-26 05:00:00,2017-02-26 05:00:00,43.659106,-79.39853199999999,215 HURON ST,,Local,Toronto and East York,Mid-Block,Non Intersection,None,,,,,,,,
2018-08-21 04:00:00,2018-08-21 04:00:00,43.72,-79.500263,109 DOWNSVIEW  AVE,,Local,North York,Mid-Block,Non Intersection,Major,West,"Automobile, Station Wagon",Going Ahead,Lost control,Yes,Yes,,
2014-07-30 04:00:00,2014-07-30 04:00:00,43.710009,-79.38223599999999,EGLINTON AVE E,BANFF RD,Major Arterial,North York,Intersection,Intersection Related,None,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,,,,
2014-07-30 04:00:00,2014-07-30 04:00:00,43.710009,-79.38223599999999,EGLINTON AVE E,BANFF RD,Major Arterial,North York,Intersection,Intersection Related,Major,South,Bicycle,Going Ahead,,,,,
2011-06-08 04:00:00,2011-06-08 04:00:00,43.768845,-79.46689,DUFFERIN ST,FINCH AVE W,Major Arterial,North York,Intersection,At Intersection,Minor,,Other,,,,Yes,Yes,
2011-06-08 04:00:00,2011-06-08 04:00:00,43.768845,-79.46689,DUFFERIN ST,FINCH AVE W,Major Arterial,North York,Intersection,At Intersection,Major,,Other,,,,Yes,Yes,
2011-06-08 04:00:00,2011-06-08 04:00:00,43.768845,-79.46689,DUFFERIN ST,FINCH AVE W,Major Arterial,North York,Intersection,At Intersection,Minor,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,,Yes,Yes,
2011-06-08 04:00:00,2011-06-08 04:00:00,43.768845,-79.46689,DUFFERIN ST,FINCH AVE W,Major Arterial,North York,Intersection,At Intersection,Minimal,North,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,,Yes,Yes,
2014-09-07 04:00:00,2014-09-07 04:00:00,43.734235999999996,-79.5358,2324 SHEPPARD AVE W,,Major Arterial,Etobicoke York,Intersection,Private Driveway,Major,East,"Automobile, Station Wagon",Turning Left,Lost control,Yes,Yes,,Yes
2014-09-07 04:00:00,2014-09-07 04:00:00,43.734235999999996,-79.5358,2324 SHEPPARD AVE W,,Major Arterial,Etobicoke York,Intersection,Private Driveway,None,Unknown,,Unknown,,Yes,Yes,,Yes
2014-09-07 04:00:00,2014-09-07 04:00:00,43.734235999999996,-79.5358,2324 SHEPPARD AVE W,,Major Arterial,Etobicoke York,Intersection,Private Driveway,None,,,,,Yes,Yes,,Yes
2018-06-22 04:00:00,2018-06-22 04:00:00,43.654552,-79.363987,RICHMOND ST E,PARLIAMENT ST,Major Arterial,Toronto and East York,Intersection,At Intersection,Major,South,"Automobile, Station Wagon",Going Ahead,Other,Yes,Yes,,
2018-06-22 04:00:00,2018-06-22 04:00:00,43.654552,-79.363987,RICHMOND ST E,PARLIAMENT ST,Major Arterial,Toronto and East York,Intersection,At Intersection,None,West,"Automobile, Station Wagon",Going Ahead,Other,Yes,Yes,,
2009-09-25 04:00:00,2009-09-25 04:00:00,43.747645,-79.28399,LAWRENCE AVE E,BIRCHMOUNT RD,Major Arterial,Scarborough,Mid-Block,,Major,,Other,,,,,,
2009-09-25 04:00:00,2009-09-25 04:00:00,43.747645,-79.28399,LAWRENCE AVE E,BIRCHMOUNT RD,Major Arterial,Scarborough,Mid-Block,,,,Other,,,,,,
